time_sec,time_nsec,seq,lon,lat,alt,qx,qy,qz,qw
1777016982,664535641,11169,121.29765070133332,31.534051831499998,3.1675,0.0,0.0,0.0,1.0
1777016982,714452549,11170,121.29765056233333,31.534052092000003,3.1712,0.0,0.0,0.0,1.0
1777016982,764570325,11171,121.2976504315,31.534052327166666,3.1696,0.0,0.0,0.0,1.0
1777016982,814468509,11172,121.29765032499999,31.534052590833333,3.1667,0.0,0.0,0.0,1.0
1777016982,864588472,11173,121.29765021916667,31.53405282516667,3.1728,0.0,0.0,0.0,1.0
1777016982,914465744,11174,121.2976501285,31.534053086333333,3.1735,0.0,0.0,0.0,1.0
1777016982,964438349,11175,121.29765003766667,31.534053336333333,3.1718,0.0,0.0,0.0,1.0
1777016983,14428508,11176,121.29765003766667,31.534053336333333,3.1718,0.0,0.0,0.0,1.0
1777016983,64437930,11177,121.29765003766667,31.534053336333333,3.1718,0.0,0.0,0.0,1.0
1777016983,114485417,11178,121.29765003766667,31.534053336333333,3.1718,0.0,0.0,0.0,1.0
1777016983,164430326,11179,121.29765003766667,31.534053336333333,3.1718,0.0,0.0,0.0,1.0
1777016983,214460244,11180,121.29764994316665,31.534053601833328,3.1695,0.0,0.0,0.0,1.0
1777016983,264425673,11181,121.29764994316665,31.534053601833328,3.1695,0.0,0.0,0.0,1.0
1777016983,314440573,11182,121.29764994316665,31.534053601833328,3.1695,0.0,0.0,0.0,1.0
1777016983,364424497,11183,121.29764994316665,31.534053601833328,3.1695,0.0,0.0,0.0,1.0
1777016983,414463910,11184,121.2976500905,31.534053516000004,3.1122,0.0,0.0,0.0,1.0
1777016983,464585198,11185,121.29764933266667,31.534055044499997,3.1087,0.0,0.0,0.0,1.0
1777016983,514568581,11186,121.29764915599999,31.534055333833333,3.1075,0.0,0.0,0.0,1.0
1777016983,564441829,11187,121.29764900633333,31.53405560166667,3.1058,0.0,0.0,0.0,1.0
1777016983,614635076,11188,121.29764886433334,31.53405582716667,3.1072,0.0,0.0,0.0,1.0
1777016983,664565253,11189,121.2976487315,31.53405607366667,3.1199,0.0,0.0,0.0,1.0
1777016983,714447456,11190,121.29764852433333,31.534056324,3.1099,0.0,0.0,0.0,1.0
1777016983,764434201,11191,121.29764834316666,31.534056528333334,3.1195,0.0,0.0,0.0,1.0
1777016983,814445692,11192,121.29764816333333,31.53405676083333,3.1102,0.0,0.0,0.0,1.0
1777016983,864436713,11193,121.29764799066668,31.534057002,3.1077,0.0,0.0,0.0,1.0
1777016983,914597033,11194,121.2976478235,31.534057225999998,3.1076,0.0,0.0,0.0,1.0
1777016983,964578271,11195,121.29764769383334,31.534057409166667,3.1215,0.0,0.0,0.0,1.0
1777016984,14434653,11196,121.29764769383334,31.534057409166667,3.1215,0.0,0.0,0.0,1.0
1777016984,64438413,11197,121.29764769383334,31.534057409166667,3.1215,0.0,0.0,0.0,1.0
